,year,mth,beg_of_mth_lvl,rainfall_amt,mth_rain_ptntl,mth_rain_coll,mth_rain_ovflw,tnkr_amt,end_of_mth_lvl
62,2009,11,2606,1.0,64,64,0,18000,5670
63,2009,12,5670,3.6,230,230,0,18000,8400
64,2009,2,6549,0.0,0,0,0,12000,4549
65,2009,3,4549,28.4,1817,1817,0,18000,8866
66,2009,4,8866,21.3,1364,1364,0,12000,7230
67,2009,5,7230,132.0,8449,8449,0,6000,6179
68,2009,6,6179,125.0,8000,6665,1335,12000,9844
69,2009,7,9844,326.3,20882,15212,5670,0,9556
70,2009,8,9556,382.9,24506,15455,9051,0,9511
71,2009,9,9511,113.4,7258,7019,239,6000,7530
72,2010,1,8400,1.9,122,122,0,12000,5022
73,2010,10,8192,24.5,1568,1568,0,12000,6260
74,2010,11,6260,0.0,0,0,0,12000,3260
75,2010,12,3260,0.0,0,0,0,18000,5760
76,2010,2,5022,23.299999999999997,1492,1492,0,12000,4514
77,2010,3,4514,35.7,2285,2285,0,12000,3299
78,2010,4,3299,45.3,2899,2899,0,18000,9198
79,2010,5,9198,148.0,9472,7933,1539,6000,7631
80,2010,6,7631,141.7,9070,7515,1555,6000,6146
81,2010,7,6146,354.9,22714,19354,3360,0,10000
82,2010,8,10000,486.3,31123,14698,16425,0,9198
83,2010,9,9198,217.1,13895,7994,5901,6000,8192
84,2011,1,5760,6.2,397,397,0,12000,2657
85,2011,10,9833,13.000000000000002,831,831,0,12000,7164
86,2011,11,7164,12.9,826,826,0,12000,4990
87,2011,12,4990,0.0,0,0,0,18000,7490
88,2011,2,2657,54.9,3514,3514,0,12000,4171
89,2011,3,4171,16.4,1050,1050,0,18000,7721
90,2011,4,7721,56.8,3637,3637,0,12000,8358
91,2011,5,8358,167.4,10714,10714,0,0,3572
92,2011,6,3572,306.0,19584,15428,4156,6000,10000
93,2011,7,10000,437.8,28021,14967,13054,0,9467
94,2011,8,9467,265.4,16987,14711,2276,0,8678
95,2011,9,8678,318.0,20352,16155,4197,0,9833
96,2012,1,7490,17.8,1139,1139,0,12000,5129
97,2012,10,4147,13.2,845,845,0,18000,7492
98,2012,11,7492,0.7,45,45,0,12000,4537
99,2012,12,4537,0.0,0,0,0,18000,7037
100,2012,2,5129,41.8,2675,2675,0,12000,5304
101,2012,3,5304,15.6,999,999,0,12000,2803
102,2012,4,2803,80.1,5127,5127,0,12000,4930
103,2012,5,4930,42.2,2701,2701,0,12000,4131
104,2012,6,4131,149.2,9550,9550,0,6000,4681
105,2012,7,4681,452.3,28949,20819,8130,0,10000
106,2012,8,10000,289.6,18534,15192,3342,0,9692
107,2012,9,9692,362.2,23181,9455,13726,0,4147
108,2013,1,7037,11.5,736,736,0,12000,4273
109,2013,10,6281,95.7,6125,5386,739,12000,8167
110,2013,11,8167,0.0,0,0,0,12000,5167
111,2013,12,5167,0.0,0,0,0,18000,7667
112,2013,2,4273,45.400000000000006,2906,2772,134,12000,5045
113,2013,3,5045,27.3,1747,1747,0,12000,3292
114,2013,4,3292,44.5,2847,2847,0,12000,3139
115,2013,5,3139,278.6,17831,10361,7470,12000,10000
116,2013,6,10000,299.1,19143,13479,5664,0,8479
117,2013,7,8479,428.5,27423,17021,10402,0,10000
118,2013,8,10000,451.4,28889,14849,14040,0,9349
119,2013,9,9349,217.3,13909,11932,1977,0,6281
